 ,"TW1","TW2","OTW","ITW","OSW"
new_tcp_connections,0.989980,0.988372,0.978682,1.000000,0.979560
ssh_brute,1.000000,1.000000,0.962617,1.000000,0.954545
superspreader,0.950000,0.936508,0.950000,1.000000,0.950820
port_scan,0.945578,0.935294,0.945455,1.000000,0.923529
ddos,0.988142,0.983376,0.993151,1.000000,0.990291
syn_flood,0.969536,0.976000,0.966169,1.000000,0.964320
completed_flow,0.973984,0.976710,0.965066,1.000000,0.967742
slowloris_attack,0.969016,0.969048,0.964115,1.000000,0.953150
